date_obs;code_insee_departement;departement;tmin;tmax;tmoy
2019-10-22;21;Côte-d'Or;10.9;16.0;13.45
2019-10-22;73;Savoie;11.7;18.65;15.18
2019-10-22;29;Finistère;7.77;15.48;11.63
2019-10-22;48;Lozère;9.7;16.5;13.1
2019-10-22;49;Maine-et-Loire;4.4;15.1;9.75
2019-09-23;83;Var;18.56;22.28;20.42
2019-10-23;36;Indre;11.4;17.5;14.45
2019-10-23;62;Pas-de-Calais;9.2;15.3;12.25
2019-10-23;48;Lozère;9.2;11.9;10.55
2019-10-23;21;Côte-d'Or;9.8;18.7;14.25
2019-10-23;28;Eure-et-Loir;10.05;15.35;12.7
2019-10-23;42;Loire;11.75;14.9;13.32
2019-10-23;02;Aisne;10.7;16.1;13.4
2019-10-23;60;Oise;9.85;15.2;12.52
2019-10-23;50;Manche;10.5;14.73;12.61
2019-10-23;46;Lot;13.4;16.2;14.8
2019-10-23;78;Yvelines;9.83;13.7;11.77
2019-10-23;73;Savoie;15.6;20.55;18.08
2019-10-29;2A;Corse-du-Sud;13.25;21.7;17.48
